order_item_id,order_id,product_id,quantity,unit_price,discount_pct,created_at
5001,1001,101,1,79.99,0.00,2023-03-15 10:30:00
5002,1001,106,2,14.99,0.00,2023-03-15 10:30:00
5003,1002,103,1,129.99,0.00,2023-03-18 14:20:00
5004,1002,111,1,19.99,0.00,2023-03-18 14:20:00
5005,1003,103,1,129.99,0.00,2023-04-02 09:15:00
5006,1003,106,1,14.99,0.00,2023-04-02 09:15:00
5007,1004,104,1,24.99,0.00,2023-04-10 16:45:00
5008,1004,107,1,15.99,0.00,2023-04-10 16:45:00
5009,1005,116,1,149.99,0.00,2023-05-05 11:00:00
5010,1005,109,1,29.99,0.00,2023-05-05 11:00:00
5011,1006,105,1,49.99,0.00,2023-05-20 08:30:00
5012,1006,111,1,19.99,0.00,2023-05-20 08:30:00
5013,1007,116,1,149.99,0.00,2023-06-12 13:00:00
5014,1007,106,1,14.99,0.00,2023-06-12 13:00:00
5015,1008,101,1,79.99,0.00,2023-06-28 15:45:00
5016,1009,103,1,129.99,0.00,2023-07-15 10:00:00
5017,1009,114,2,19.99,0.00,2023-07-15 10:00:00
5018,1010,104,1,24.99,0.00,2023-08-03 09:30:00
5019,1011,108,1,89.99,0.00,2023-08-22 14:15:00
5020,1011,105,1,49.99,0.00,2023-08-22 14:15:00
5021,1012,116,1,149.99,0.00,2023-09-10 11:30:00
5022,1012,112,1,44.99,0.00,2023-09-10 11:30:00
5023,1012,106,1,14.99,0.00,2023-09-10 11:30:00
5024,1013,105,1,49.99,0.00,2023-10-01 08:00:00
5025,1014,108,1,89.99,0.00,2023-10-18 16:20:00
5026,1015,103,1,129.99,0.00,2023-11-15 10:45:00
5027,1015,107,1,15.99,0.00,2023-11-15 10:45:00
5028,1016,116,1,149.99,0.00,2023-11-24 09:00:00
5029,1017,116,1,149.99,0.00,2023-12-10 13:30:00
5030,1017,101,1,79.99,0.00,2023-12-10 13:30:00
5031,1017,106,2,14.99,0.00,2023-12-10 13:30:00
5032,1018,110,1,34.99,0.00,2023-12-22 15:00:00
5033,1018,118,1,22.99,0.00,2023-12-22 15:00:00
5034,1019,117,1,79.99,0.00,2024-01-08 10:15:00
5035,1019,107,1,15.99,0.00,2024-01-08 10:15:00
5036,1020,105,1,49.99,0.00,2024-01-25 11:00:00
5037,1021,116,1,149.99,0.00,2024-02-14 09:30:00
5038,1021,112,1,44.99,0.00,2024-02-14 09:30:00
5039,1022,114,2,19.99,0.00,2024-02-28 14:00:00
5040,1023,103,1,129.99,0.00,2024-03-15 10:00:00
5041,1024,101,1,79.99,0.00,2024-04-02 13:45:00
5042,1025,116,1,149.99,0.00,2024-04-20 08:30:00
5043,1025,109,1,29.99,0.00,2024-04-20 08:30:00
5044,1026,108,1,89.99,0.00,2024-05-05 15:20:00
5045,1026,119,1,54.99,0.00,2024-05-05 15:20:00
5046,1027,110,1,34.99,0.00,2024-05-22 11:00:00
5047,1027,118,1,22.99,0.00,2024-05-22 11:00:00
5048,1027,107,1,15.99,0.00,2024-05-22 11:00:00
5049,1028,112,1,44.99,0.00,2024-06-10 09:15:00
5050,1028,101,1,79.99,0.00,2024-06-10 09:15:00
5051,1029,114,3,19.99,0.00,2024-06-28 14:30:00
5052,1030,116,1,149.99,0.00,2024-07-15 10:45:00
5053,1030,112,1,44.99,0.00,2024-07-15 10:45:00
